Date,ConnType,Lat,Lon,Debit descendant,Debit montant,Latence,Nom de serveur,InternalIp,ExternalIp
"2015-10-30 09:55","Hsdpa","14.00000","-14.00000",3.70,0.58,56,"Dakar","10.139.97.36","41.219.27.197"
"2015-10-23 17:02","Hsdpa","14.67080","-17.43810",3.48,0.57,59,"Dakar","10.139.92.2","41.219.31.224"
"2015-10-22 13:49","Hsdpa","14.00000","-14.00000",2.71,0.58,59,"Dakar","10.139.45.151","41.219.27.60"
"2015-10-21 16:50","Hsdpa","14.67080","-17.43810",1.04,0.35,196,"Dakar","10.139.149.223","41.219.31.204"
"2015-10-20 21:39","Hsdpa","14.70541","-17.46783",0.58,0.58,63,"Dakar","10.139.9.74","41.219.31.195"
"2015-10-20 11:51","Hsdpa","14.71376","-17.44936",0.36,0.36,92,"Dakar","10.139.88.194","41.219.31.28"
"2015-10-14 22:54","Hsdpa","14.00000","-14.00000",0.30,0.57,139,"Dakar","10.139.54.131","41.219.27.53"
"2015-10-14 13:44","Hsdpa","14.00000","-14.00000",0.70,0.57,112,"Dakar","10.139.127.42","41.219.27.213"
"2015-10-12 10:25","Hsdpa","14.00000","-14.00000",2.96,0.62,79,"Dakar","10.139.19.239","41.219.52.126"
"2015-10-11 23:16","Hsdpa","14.00000","-14.00000",0.60,0.34,99,"Dakar","10.139.87.226","41.219.52.53"
"2015-10-11 02:23","Hsdpa","14.00000","-14.00000",3.69,0.54,104,"Dakar","10.139.17.187","41.219.52.44"
"2015-10-08 09:40","Hsdpa","14.00000","-14.00000",1.48,0.34,105,"Dakar","10.139.176.241","41.219.53.193"
"2015-10-05 21:39","Hsdpa","14.00000","-14.00000",0.38,0.36,198,"Dakar","10.139.33.26","41.219.53.187"
"2015-10-05 19:56","Hsdpa","14.00000","-14.00000",0.80,0.06,973,"Bissau","10.139.114.22","41.219.53.230"
"2015-10-04 21:18","Hsdpa","14.00000","-14.00000",0.81,0.35,114,"Dakar","10.139.93.83","41.219.52.144"
"2015-10-04 14:34","Edge","14.00000","-14.00000",0.01,0.02,1253,"Bissau","10.139.89.79","41.219.52.152"
"2015-10-03 18:23","Hsdpa","14.00000","-14.00000",3.67,0.59,51,"Dakar","10.139.229.220","41.219.53.185"
