Date,ConnType,Lat,Lon,Debit.descendant,Debit.montant,Latence,Nom.de.serveur,InternalIp,ExternalIp
2015-10-31 19:14,Cellule,14.721618,-17.450353,1.43,0.07,65,Dakar,10.244.138.85,154.65.34.205
2015-10-31 19:13,Cellule,14.721618,-17.450353,1.07,0.02,380,Dakar,10.244.138.85,154.65.34.205
2015-10-29 07:54,Cellule,14.720474,-17.45224,5.63,0.90,72,Dakar,10.244.161.106,154.65.34.202
2015-10-28 23:53,Cellule,14.720563,-17.452619,1.24,0.18,85,Dakar,10.244.76.122,154.65.32.23
2015-10-28 19:56,Cellule,14.719943,-17.451786,1.80,0.45,88,Bissau,10.246.63.151,154.65.34.207
2015-10-26 19:10,Cellule,14.720343,-17.452128,1.19,0.10,84,Bissau,10.246.0.177,154.65.34.201
2015-10-25 22:41,Cellule,14.720309,-17.452608,1.21,0.39,155,Dakar,10.244.104.182,154.65.32.1
2015-10-24 17:59,Cellule,14.720514,-17.452416,5.70,1.23,72,Dakar,10.244.191.230,154.65.34.206
2015-10-22 17:57,Cellule,14.706191,-17.448596,0.88,0.81,189,Bissau,10.244.78.230,154.65.32.18
2015-10-21 22:23,Cellule,14.720362,-17.451913,0.66,0.10,137,Dakar,10.244.48.248,154.65.32.106
2015-10-21 21:52,Cellule,14.721629,-17.450351,0.14,0.05,386,Bissau,10.244.13.218,154.65.32.116
2015-10-20 19:27,Cellule,14.720584,-17.452649,1.08,0.30,71,Dakar,10.244.227.240,154.65.34.200
2015-10-20 19:26,Cellule,14.720577,-17.452659,1.97,0.47,85,Bissau,10.244.227.240,154.65.34.200
2015-10-20 00:27,Cellule,14.720034,-17.451496,5.36,1.48,69,Dakar,10.244.205.118,154.65.32.43
2015-10-19 22:56,Cellule,14.720487,-17.45234,3.77,0.69,80,Dakar,10.244.31.64,154.65.32.70
